PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
20873,1,2021,WAS,95,T.McLaurin,WR,OFF,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,0,12,130,77,1053,13.7,5,46,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.5,WR,990670077,0,,,175,0,0,0,0,0,225.5,,,35
20874,1,2021,ARI,7,T.McSorley,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QB,990710394,0,,,0,0,0,0,0,0,0,,,1
20875,1,2021,SEA,18,D.Metcalf,WR,OFF,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,6,129,75,967,12.9,12,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.3,WR,990669917,0,,,206.8,0,0,0,0,0,247.3,,,30
20876,1,2021,NE,47,J.Meyers,WR,OFF,17,16,2,2,45,100,22.5,22.5,0,0,118.75,30,0,0,1,9,9,0,9,126,83,866,10.4,2,39,1,1,1,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103.3,WR,990671396,0,,,144.8,0,0,0,0,0,187.3,,,21
20878,1,2021,NO,83,J.Miller,CB,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,990671502,0,,,0,0,0,0,0,0,0,,,22
20880,1,2021,PHI,54,G.Minshew,QB,OFF,4,2,60,41,439,68.3,7.3,10.7,4,1,104.79,36,5,31,9,21,2.3,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.66,QB,990669701,0,,,34.66,0,0,0,0,0,34.66,,,26
20882,1,2021,CHI,64,D.Montgomery,RB,OFF,13,13,1,0,0,0,0,0,0,1,0,0,0,0,225,849,3.8,7,41,51,42,301,7.2,0,16,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,RB,990672080,0,,,175,0,0,0,0,0,203,,,6
20884,1,2021,LV,38,F.Moreau,TE,OFF,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,30,373,12.4,3,44,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,55.3,TE,990674229,0,,,70.3,0,0,0,0,0,85.3,,,25
20885,1,2021,HOU,81,J.Moreland,CB,DEF,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DB,990670815,0,,,0,0,0,0,0,0,0,,,13
20886,1,2021,CIN,75,S.Morgan,WR,OFF,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,4,2,11,5.5,0,8,0,0,0,0,0,2,22,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,WR,990671004,0,,,2.4,0,0,0,0,0,3.4,,,7
20887,1,2021,LV,33,T.Mullen Jr.,CB,DEF,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,25.5,DB,990674230,0,,,0,0,0,0,0,0,0,,,25
20888,1,2021,ARI,1,B.Murphy Jr.,CB,DEF,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,0,49,15,0,0.5,0.5,1,12,1,1,0,4,1,0,0,0,0,0,0,94.55,DB,990670641,0,,,0,0,0,0,0,0,0,,,1
20889,1,2021,ARI,85,K.Murray,QB,OFF,14,14,481,333,3787,69.2,7.9,11.4,24,10,100.55,77,31,286,88,423,4.8,5,57,0,0,7,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.48,QB,990670642,0,,,310.48,0,0,0,0,0,319.48,,,1
20891,1,2021,CHI,20,S.Mustipher,C,OFF,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990672081,0,,,0,0,0,0,0,0,0,,,6
20894,1,2021,TB,52,A.Nelson,OLB,DEF,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,7,5,45,10,1,0,1,0,0,0,0,0,0,0,0,0,53,LB,990667564,0,,,0,0,0,0,0,0,0,,,33
20895,1,2021,GB,44,Y.Nijman,OT,OFF,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990671445,0,,,0,0,0,0,0,0,0,,,12
20897,1,2021,IND,1,B.Okereke,ILB,DEF,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,3,1,9,2,4,0,0,0,2,0,0,0,0,0,0,0,128.4,LB,990669969,0,,,0,0,0,0,0,0,0,,,14
20898,1,2021,BUF,89,E.Oliver,DT,DEF,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,10,4,27.5,14,3,1,0,0,0,0,0,0,0,0,0,0,75.75,DL,990669866,0,,,0,0,0,0,0,0,0,,,4
